key,width,height,avg_r,sd_r,avg_g,sd_g,avg_b,sd_b
LS21323_DJI_0008_clump_0005,214,188,110.83021806853583,13.616606921865507,113.33687943262412,21.45843718522558,117.23210379797176,28.199235335413825
LS21323_DJI_0008_clump_0006,170,250,99.00980392156863,15.283269782859652,109.56266666666667,11.173811922924463,110.11701176470588,35.69322727006908
LS21323_DJI_0008_clump_0007,206,204,116.91585760517799,18.35225375238751,110.83169934640523,20.89499365535486,117.50378355225585,37.451173682597116
LS21323_DJI_0008_clump_0008,152,234,115.11184210526316,14.112432000102796,113.81623931623932,16.365017884459586,121.20355375618533,30.077423088315346
LS21323_DJI_0008_clump_0009,128,250,120.5859375,8.404048513232205,114.112,11.960077591721552,105.0109375,24.098966634922206
LS21323_DJI_0008_clump_0010,230,296,111.70144927536232,10.806767776891428,101.12837837837837,16.541626609371185,110.40336368977674,34.61029225604276
LS21323_DJI_0008_clump_0011,162,234,117.059670781893,10.703184936870427,94.32193732193733,21.601191080027128,116.32370475888995,41.180610007315885
LS21323_DJI_0008_clump_0012,146,318,107.27168949771689,9.255711423183548,103.22117400419287,16.507616318695987,102.05761609373654,22.94430875663016
LS21323_DJI_0008_clump_0013,214,136,114.60747663551402,9.081071693530266,122.57843137254902,8.472488666624145,119.65557998900495,37.108318008975516
LS21323_DJI_0008_clump_0014,188,232,116.20921985815603,8.990273709804073,101.28448275862068,7.471754515310246,99.28384079236977,17.998724971012155
LS21323_DJI_0008_clump_0015,196,182,108.91326530612245,9.43673677191442,113.20879120879121,11.246668029343937,113.76925880242207,31.112878471889026
LS21323_DJI_0008_clump_0016,196,142,106.89625850340136,10.73099267021826,109.97652582159624,9.369534746043396,104.86440068985341,23.596611942174967
